# 2003 081 13:15:05 1.0025 03081131505 11320000 010000 60C3104 01121 120 908 4151 324 002 1229
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2003 081 13:15:05    1.1225   480.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   485.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   490.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   495.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   500.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   505.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   510.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   515.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   520.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   525.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   530.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   535.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   540.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   545.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   550.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   555.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   560.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   565.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   570.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   575.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   580.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   585.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   590.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   595.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   600.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   605.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   610.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   615.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   620.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   625.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   630.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   635.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   640.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   645.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   650.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   655.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   660.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   665.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   670.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   675.000   -90.000    12.000    -6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   680.000   -90.000    12.000    -1.562     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   685.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   690.000   -90.000    12.000     4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   695.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
 
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2003 081 13:15:06    1.2025    60.000   -90.000    12.000    -6.250     0.000     0.000    78.000     0.000
2003 081 13:15:06    1.2025    65.000   -90.000    12.000     1.562     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025    70.000   -90.000    12.000    -6.250     0.000     0.000    72.000     0.000
2003 081 13:15:06    1.2025    75.000   -90.000    12.000    -6.250     0.000     0.000    78.000     0.000
2003 081 13:15:06    1.2025    80.000   -90.000    12.000     1.562     0.000     0.000    72.000     0.000
